🌹防失联,#genre#
请关注,https://tv.youdu.fan:666/mtv/一路生花.MP4
公众号,https://tv.youdu.fan:666/mtv/一条路.MP4
毒盒影视,https://tv.youdu.fan:666/mtv/一剪梅.MP4

📡游山玩水,#genre#

印象大红袍,https://tv.youdu.fan:666/mtv/yxdhp.mp4

央视节目,#genre#
CCTV1,https://tv.bfsu.edu.cn/hls/cctv1hd.m3u8
CCTV2,https://tv.bfsu.edu.cn/hls/cctv2hd.m3u8
CCTV3,https://tv.bfsu.edu.cn/hls/cctv3hd.m3u8
CCTV4,https://tv.bfsu.edu.cn/hls/cctv4hd.m3u8
CCTV5,https://tv.bfsu.edu.cn/hls/cctv5hd.m3u8
CCTV5+,https://tv.bfsu.edu.cn/hls/cctv5phd.m3u8
CCTV6,https://tv.bfsu.edu.cn/hls/cctv6hd.m3u8
CCTV7,https://tv.bfsu.edu.cn/hls/cctv7hd.m3u8
CCTV8,https://tv.bfsu.edu.cn/hls/cctv8hd.m3u8
CCTV9,https://tv.bfsu.edu.cn/hls/cctv9hd.m3u8
CCTV10,https://tv.bfsu.edu.cn/hls/cctv10hd.m3u8
CCTV11,https://tv.bfsu.edu.cn/hls/cctv11hd.m3u8
CCTV12,https://tv.bfsu.edu.cn/hls/cctv12hd.m3u8
CCTV13,https://tv.bfsu.edu.cn/hls/cctv13hd.m3u8
CCTV14,https://tv.bfsu.edu.cn/hls/cctv14hd.m3u8
CCTV15,https://tv.bfsu.edu.cn/hls/cctv15hd.m3u8
CCTV16,https://tv.bfsu.edu.cn/hls/cctv16hd.m3u8
CCTV17,https://tv.bfsu.edu.cn/hls/cctv17hd.m3u8

CGTN,https://tv.bfsu.edu.cn/hls/cgtnhd.m3u8
CHC家庭影院,https://tv.bfsu.edu.cn/hls/chctv.m3u8
CHC动作电影,https://tv.bfsu.edu.cn/hls/chcatv.m3u8
CETV1,https://tv.bfsu.edu.cn/hls/cetv1.m3u8
CETV3,https://tv.bfsu.edu.cn/hls/cetv3.m3u8
CETV4,https://tv.bfsu.edu.cn/hls/cetv4.m3u8

CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv1
CCTV2,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv2
CCTV3,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv3
CCTV4,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv4
CCTV4欧洲,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv4o
CCTV5+,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv5p
CCTV6,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv6
CCTV7,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv7
CCTV8,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv8
CCTV9,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv9
CCTV10,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv10
CCTV11,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv11
CCTV12,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv12
CCTV13,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv13
CCTV14,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv14
CCTV15,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv15
CCTV16,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv16
CCTV17,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv17

CCTV1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0.flv
CCTV2,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qa.flv
CCTV3,http://push-rtmp-hs-spe-f5.douyincdn.com/live/62wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8.flv
CCTV4,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv
CCTV5,http://push-rtmp-hs-spe-f5.douyincdn.com/live/61qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7u.flv
CCTV6,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tg.flv
CCTV7,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yh.flv
CCTV8,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7uj.flv
CCTV9,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8i.flv
CCTV10,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv10p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik.flv
